"dates","arealVal"
"20160101",0.119932870025257
"20160102",0
"20160103",0
"20160104",0
"20160105",0.603536819823881
"20160106",0
"20160107",0
"20160108",0
"20160109",0.00704397638160062
"20160110",0.010976509067252
"20160111",0
"20160112",0
"20160113",0
"20160114",0.213301084606523
"20160115",0.456355435384536
"20160116",0
"20160117",0
"20160118",0
"20160119",0
"20160120",0
"20160121",0
"20160122",0
"20160123",0.730895887230827
"20160124",19.5225622959299
"20160125",0.495624687834857
"20160126",73.4973485658127
"20160127",3.33606385838927
"20160128",0
"20160129",0.0661353867722111
"20160130",0
"20160131",0
"20160201",0.0745713924627547
"20160202",0
"20160203",0.0740813238713317
"20160204",0
"20160205",0.0455995411917547
"20160206",0
"20160207",0.00493800273062873
"20160208",0
"20160209",0
"20160210",0
"20160211",0
"20160212",0
"20160213",0
"20160214",0
"20160215",0.0916475431161606
"20160216",0
"20160217",0.13466970527454
"20160218",0
"20160219",0.0239028828530267
"20160220",0.1899652582149
"20160221",0.00864790146609387
"20160222",0
"20160223",0.0224639102783335
"20160224",31.6082017337675
"20160225",0.264485769148372
"20160226",6.99788204743787
"20160227",3.47431802079381
"20160228",2.17616972674328
"20160229",0
"20160301",0
"20160302",0.591745184926463
"20160303",0.8972525708261
"20160304",2.77226515297164
"20160305",0
"20160306",0
"20160307",0
"20160308",0
"20160309",0
"20160310",0.60383867519288
"20160311",0
"20160312",0.135529385203897
"20160313",0
"20160314",0.442802745813985
"20160315",0
"20160316",0
"20160317",0
"20160318",0
"20160319",0
"20160320",0
"20160321",0.00278528474540596
"20160322",0
"20160323",0.315245487593823
"20160324",1.1073977047713
"20160325",0
"20160326",0.0013281191528402
"20160327",1.08367965077513
"20160328",0
"20160329",0
"20160330",0
"20160331",0.0211698389618892
"20160401",0.00679986406658871
"20160402",1.13884565887482
"20160403",0.223533242182878
"20160404",0
"20160405",0
"20160406",0.695755168712469
"20160407",1.52180913579432
"20160408",0
"20160409",14.3644310922721
"20160410",2.1093819720944
"20160411",0
"20160412",0
"20160413",0
"20160414",0
"20160415",0
"20160416",0
"20160417",0.000113914748944548
"20160418",0.0196737238961916
"20160419",17.7785429075753
"20160420",1.67005869306687
"20160421",0.0426195468657992
"20160422",14.8255106314438
"20160423",10.4551600829558
"20160424",11.706484703973
"20160425",9.32938246192915
"20160426",0.434619100576862
"20160427",0
"20160428",0
"20160429",2.09689405910249
"20160430",32.6571786123852
"20160501",0.000145360541940134
"20160502",3.92328929419711
"20160503",0.276916409935917
"20160504",1.79920498500065
"20160505",0
"20160506",2.0293862239862
"20160507",0
"20160508",0
"20160509",0
"20160510",0
"20160511",0
"20160512",1.23517378738743
"20160513",39.7695048024536
"20160514",11.8686226028143
"20160515",12.1391899820844
"20160516",8.25942906041807
"20160517",0.00334249632158772
"20160518",0.243126577074735
"20160519",2.96749418049665
"20160520",0.679214828012246
"20160521",0.0521752833194876
"20160522",6.39231838513995
"20160523",4.73222881244368
"20160524",6.917716065883
"20160525",30.9764679730444
"20160526",1.16682834875891
"20160527",0.444315824425783
"20160528",6.02588441966634
"20160529",47.5388113768278
"20160530",17.2297060071544
"20160531",5.43137401068439
"20160601",0.239914371383936
"20160602",1.8047357031586
"20160603",4.09896554626667
"20160604",9.45897852954243
"20160605",0.111239045515942
"20160606",11.2542688678493
"20160607",2.7040372960326
"20160608",14.734725844908
"20160609",22.0596174259688
"20160610",5.67355962142195
"20160611",2.71948624859426
"20160612",0.0104813678044658
"20160613",0.945548399039434
"20160614",0.737496272414351
"20160615",0
"20160616",0.182787155906226
"20160617",26.1191749215286
"20160618",5.17613698786149
"20160619",3.7284658722237
"20160620",6.34592290437418
"20160621",2.12449599925507
"20160622",7.14120957400319
"20160623",5.7582383623936
"20160624",4.21585839957544
"20160625",24.3416180221272
"20160626",0.668395505379428
"20160627",0.0947058822482572
"20160628",0
"20160629",0.347285416514173
"20160630",6.7688536092885
"20160701",10.9632360291555
"20160702",27.0181752306603
"20160703",19.7536498660863
"20160704",0.986363756056877
"20160705",2.20165646225148
"20160706",21.5601904042221
"20160707",11.8828566428648
"20160708",0.302116353570956
"20160709",1.01903624355873
"20160710",0.232420278663237
"20160711",0.0913056694004404
"20160712",7.10955587384532
"20160713",21.7614848457347
"20160714",16.3814640164322
"20160715",2.0334088688767
"20160716",16.6555877342548
"20160717",0.515940080678181
"20160718",0.37622894747669
"20160719",1.56417201511938
"20160720",5.93713535990155
"20160721",21.5467333548945
"20160722",5.41508948212487
"20160723",1.69375255140727
"20160724",0.0202456441941051
"20160725",0.00877433198818746
"20160726",1.78350955412783
"20160727",0.352951374033359
"20160728",0.904524612335662
"20160729",24.7603268578669
"20160730",8.25583805717006
"20160731",3.67297860377604
"20160801",0.390492454423855
"20160802",0.640058632845301
"20160803",19.9324244031519
"20160804",16.3239703910365
"20160805",30.490359957864
"20160806",1.52950638911651
"20160807",4.62082414135556
"20160808",20.7316518398014
"20160809",0.43085150998493
"20160810",16.8730466137077
"20160811",91.9388463106713
"20160812",0.301402043668401
"20160813",2.91429749895876
"20160814",94.063140835096
"20160815",0.341241414936751
"20160816",1.7228676367955
"20160817",15.7058128261609
"20160818",0.111939720070552
"20160819",26.355088313527
"20160820",23.9115281009291
"20160821",0.27449562082762
"20160822",5.48704917076601
"20160823",0
"20160824",0
"20160825",0.000987012256792963
"20160826",0.539488565490906
"20160827",9.30899920478456
"20160828",2.57345321182692
"20160829",6.12506329241952
"20160830",0.00422431570708433
"20160831",3.89370345647768
"20160901",0.110540336654977
"20160902",18.9581897736447
"20160903",42.6554094295
"20160904",7.39104899940933
"20160905",6.92150850989679
"20160906",0.122722225304546
"20160907",4.12995546494994
"20160908",8.01830760957087
"20160909",6.72887731034646
"20160910",21.5328680495501
"20160911",4.48242639835686
"20160912",1.17286260761836
"20160913",1.31177358464278
"20160914",5.79814301437163
"20160915",0.0210246650091905
"20160916",0.881941624048936
"20160917",1.60954642063111
"20160918",0.581396528848417
"20160919",0.0572421873243512
"20160920",0.130023751007239
"20160921",0.024631674483332
"20160922",0
"20160923",0.00978986620038601
"20160924",0.107252528526085
"20160925",2.57538886436763
"20160926",1.01077021951656
"20160927",3.74894881237835
"20160928",1.83346214681691
"20160929",4.05901226344145
"20160930",0.87465596475648
"20161001",2.37751388217338
"20161002",1.47904644990967
"20161003",0
"20161004",0.793842685589669
"20161005",0.0193728440030179
"20161006",0.0160760912896267
"20161007",0
"20161008",0.300554243316612
"20161009",0.144006264231025
"20161010",2.42286728007992
"20161011",1.2713407231981
"20161012",0
"20161013",0.0116205534622213
"20161014",0.778759103157009
"20161015",14.5731480409928
"20161016",1.23096713970304
"20161017",0.0134462022930317
"20161018",0
"20161019",0.0220060670471574
"20161020",0
"20161021",0.151693540723767
"20161022",0
"20161023",0.908168547610149
"20161024",9.27704400177887
"20161025",7.25685259062815
"20161026",2.55906220565732
"20161027",0.049128224678414
"20161028",0.0188637273232355
"20161029",0.0216943413976685
"20161030",0.683598019618214
"20161031",0.0284762058950651
"20161101",0.108157732068083
"20161102",0.162939686998093
"20161103",0.255506692937127
"20161104",0
"20161105",0
"20161106",0
"20161107",4.26689558473882
"20161108",14.987010903467
"20161109",15.6820092807652
"20161110",57.3231965268844
"20161111",1.42060869918876
"20161112",0
"20161113",0.00195159299306601
"20161114",0.00303581153532587
"20161115",0
"20161116",0
"20161117",0
"20161118",0
"20161119",0
"20161120",0
"20161121",0
"20161122",0
"20161123",0
"20161124",0
"20161125",0.0489636189647149
"20161126",0
"20161127",0
"20161128",0
"20161129",0
"20161130",0
"20161201",0
"20161202",0
"20161203",0.119654307973898
"20161204",0.0190421762156838
"20161205",0
"20161206",0
"20161207",0
"20161208",0
"20161209",0
"20161210",0
"20161211",0
"20161212",0
"20161213",0
"20161214",0
"20161215",0
"20161216",0
"20161217",0
"20161218",0
"20161219",0
"20161220",0
"20161221",0
"20161222",0
"20161223",0
"20161224",0
"20161225",0
"20161226",0
"20161227",0
"20161228",0.266827700386179
"20161229",0
"20161230",0
"20161231",0
